Student del resid,h,dffits,DFBETAS (Intercept),DFBETAS brandbmw,DFBETAS brandhyundi,DFBETAS brandmerc,DFBETAS transmissionManual,DFBETAS transmissionSemi.Auto,DFBETAS mileage,DFBETAS tax,DFBETAS engineSize
3802,1510,972,1336,800,3009,971,2019,779,1383,1543,1381
3898,1543,986,1346,801,3014,979,2050,780,1431,1554,1383
3933,1545,1002,1375,816,3041,986,2086,792,1437,1567,1389
3946,1554,1006,1381,835,3050,989,2099,799,1486,1591,1421
4030,1560,1016,1383,850,3219,992,2104,800,1495,1605,1437
4031,1566,1069,1421,855,3235,1004,2111,813,1554,1614,1508
4330,1635,1093,1486,875,3251,1016,2146,829,1560,1620,1518
4360,1679,1123,1508,888,3325,1041,2182,831,1566,1679,1535
4368,1684,1131,1543,920,3406,1069,2204,860,1605,1684,1554
4382,1733,1177,1545,932,3610,1071,2217,875,1635,1733,1558
4467,1755,1220,1554,951,3627,1093,2262,892,1679,1736,1566
4573,1759,1223,1566,970,3643,1113,2265,907,1702,1759,1586
4674,1767,1296,1571,972,3664,1116,2267,911,1733,1767,1591
4819,1780,1303,1586,984,3707,1121,2290,951,1767,1778,1614
4942,1817,1321,1614,986,3772,1123,2380,971,1777,1831,1641
,1831,1336,1679,987,3782,1153,2394,972,1778,1832,1677
,1871,1338,1681,999,3800,1157,2400,986,1831,1845,1679
,1877,1345,1684,1001,3898,1177,2406,1002,1845,1877,1681
,1879,1346,1755,1006,3899,1189,2407,1004,1877,1878,1684
,1895,1350,1759,1016,3943,1245,2433,1006,1895,1879,1736
