Student del resid,h,dffits,DFBETAS (Intercept),DFBETAS brandbmw,DFBETAS brandford,DFBETAS brandhyundi,DFBETAS brandvauxhall,DFBETAS transmissionManual,DFBETAS mileage,DFBETAS fuelTypePetrol,DFBETAS engineSize
,1386,1498,2066,1932,1599,2787,4250,2370,1941,1530,2380
,1387,1508,2097,1941,1602,2789,4261,2380,1954,1548,2385
,1421,1528,2099,1944,1604,2791,4266,2394,1960,1554,2394
,1425,1530,2104,1947,1605,2892,4295,2411,1994,1557,2406
,1433,1541,2115,1956,1623,2896,4298,2435,1999,1561,2411
,1454,1548,2128,1994,1655,2905,4309,2448,2002,1565,2422
,1457,1554,2130,2030,1658,2907,4342,2470,2017,1566,2432
,1471,1561,2132,2050,1661,2918,4363,2473,2019,1567,2435
,1486,1566,2204,2097,1667,2932,4436,2482,2030,1591,2463
,1492,1567,2217,2099,1679,2943,4437,2501,2088,1614,2482
,1499,1591,2267,2106,1683,3009,4462,2573,2115,1635,2485
,1505,1604,2270,2111,1684,3014,4478,2588,2192,1641,2508
,1508,1605,2274,2115,1691,3050,4516,2593,2199,1666,2535
,1510,1614,2309,2131,1692,3090,4542,2597,2204,1667,2573
,1530,1635,2310,2147,1702,3092,4546,2639,2217,1679,2577
,1540,1666,2330,2166,1707,3105,4604,2667,2267,1684,2580
,1541,1667,2332,2192,1712,3132,4614,2678,2309,1688,2659
,1542,1679,2341,2196,1759,3159,4648,2692,2310,1692,2678
,1545,1684,2344,2217,1785,3219,4670,2749,2326,1707,2680
,1554,1688,2357,2235,1787,3251,4705,2758,2330,1719,2699
,1560,1707,2380,2238,1818,3286,4721,2783,2332,1739,2703
,1566,1739,2385,2251,1828,3404,4761,2788,2341,1759,2714
,1573,1759,2394,2262,1868,3406,4782,2795,2355,1765,2721
,1585,1765,2422,2267,1873,3568,4807,2814,2367,1767,2788
,1635,1767,2432,2275,1888,3610,4816,2828,2406,1777,2812
,1654,1787,2433,2277,1955,3627,4832,2830,2435,1778,2814
,1679,1828,2435,2309,1963,3643,4842,2837,2438,1828,2827
,1680,1831,2463,2330,1964,3705,4849,2847,2453,1846,2828
,1684,1845,2467,2332,1977,3707,4862,2859,2461,1855,2859
